date,tmin,day_of_year,month,day_of_week,sin_doy,cos_doy,lag1,lag2,lag7,lag30,roll7,roll30,vol_7,diff1
2018-03-29,79.0,88,3,3,0.9984354211555643,0.055916990100603484,78.0,79.0,77.0,75.0,78.42857142857143,76.63333333333334,0.78679579246904,1.0
2018-03-30,81.0,89,3,4,0.9992500112396835,0.03872228089217446,79.0,78.0,78.0,75.0,78.85714285714286,76.83333333333333,1.2149857925876095,2.0
2018-03-31,80.0,90,3,5,0.9997685019798909,0.021516097436222254,81.0,79.0,79.0,77.0,79.0,76.93333333333334,1.2909944487355078,-1.0
2018-04-01,78.0,91,4,6,0.9999907397361901,0.004303538296244289,80.0,81.0,79.0,77.0,78.85714285714286,76.96666666666667,1.3451854182688254,-2.0
2018-04-02,76.0,92,4,0,0.9999166586547379,-0.01291029607500882,78.0,80.0,77.0,73.0,78.71428571428571,77.06666666666666,1.6035674514743283,-2.0
2018-04-03,80.0,93,4,1,0.9995462806873573,-0.030120304846908114,76.0,78.0,79.0,76.0,78.85714285714286,77.2,1.6761634196948314,4.0
2018-04-04,78.0,94,4,2,0.9988797155850336,-0.04732138832243185,80.0,76.0,78.0,74.0,78.85714285714286,77.33333333333333,1.6761634196948314,-2.0
2018-04-05,79.0,95,4,3,0.9979171608653922,-0.06450844944931623,78.0,80.0,79.0,76.0,78.85714285714286,77.43333333333334,1.6761634196948314,1.0
2018-04-06,79.0,96,4,4,0.9966589017541702,-0.08167639533042241,79.0,78.0,81.0,75.0,78.57142857142857,77.56666666666666,1.3972762620113082,0.0
2018-04-07,80.0,97,4,5,0.9951053111006976,-0.09882013873287143,79.0,79.0,80.0,76.0,78.57142857142857,77.7,1.3972762620113082,1.0
2018-04-08,78.0,98,4,6,0.9932568492674143,-0.11593459959550041,80.0,79.0,78.0,77.0,78.57142857142857,77.73333333333333,1.3972762620113082,-2.0
2018-04-09,80.0,99,4,0,0.9911140639934547,-0.1330147065341959,78.0,80.0,76.0,76.0,79.14285714285714,77.86666666666666,0.8997354108419799,2.0
2018-04-10,78.0,100,4,1,0.9886775902323405,-0.1500553983446526,80.0,78.0,80.0,75.0,78.85714285714286,77.96666666666667,0.8997354108420249,-2.0
2018-09-14,75.0,257,9,4,-0.9587178169872964,-0.2843591872810036,76.0,75.0,75.0,71.0,75.28571428571429,74.7,0.48795003647452845,-1.0
2018-09-15,76.0,258,9,5,-0.9634705485641486,-0.26781430516217486,75.0,76.0,75.0,71.0,75.42857142857143,74.86666666666666,0.5345224838250288,1.0
