"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-08","0.00","96","78"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-09",,"94","80"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-10","0.00","94","78"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-11",,"95",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-12","0.08","94",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-13","1.34","94","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-14","0.24",,"76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-15","0.00","91","78"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-16","0.35",,"77"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-17","0.00","93","78"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-18","0.24","92","78"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-19","0.00",,"78"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-20","0.01","92","79"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-21","0.00",,"80"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-22",,"93","80"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-23",,,"80"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-24",,"96","81"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-25","0.02","94","79"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-26","0.03","95","79"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-27","0.00","96",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-28","0.20","95","77"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-29","0.00",,"79"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-30",,,"80"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-01",,"95","81"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-02",,"95","81"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-03","0.00","95","81"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-04",,,"80"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-05","0.00","95",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-06","0.08","93","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-07","0.31","92","77"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-08","0.04","92",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-09","2.64","92","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-10","0.04","90","77"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-11","0.00","90","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-12","0.08","90","78"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-13","0.08","90",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-14",,"90","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-15",,"92","78"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-16",,"92",
